argument_id,role,text,original_label,T_id,start_char,end_char,speaker,date,embedding
ARG-14_1988-T39,Claim,"The question goes to whether I am qualified to be Vice President, and in the case of a tragedy, whether I'm qualified to be President",Claim,T39,1849,1982,QUAYLE,1988-10-05,"[0.027841, 0.00246, 0.033892, -0.025786, 0.002106, 0.093925, -0.056405, 0.0516, -0.128175, 0.013833, -0.051338, -0.028779, 0.039245, -0.03602, -0.008931, 0.007842, 0.026035, -0.026836, 0.006063, 0.023639, 0.045708, -0.00797, -0.046004, -0.103149, -0.04971, 0.057392, -0.036716, -0.096506, -0.066724, 0.024798, 0.128314, -0.063209, 0.062993, 0.020056, 0.068288, 0.008604, 0.043142, 0.066993, 0.038791, 0.023272, 0.027652, -0.075781, -0.049345, -0.110468, 0.022618, -0.059479, -0.01402, 0.019517, -0.017225, -0.079972, -0.069117, -0.024783, -0.011023, -0.037159, -0.065101, -0.02034, -0.074795, 0.004161, 0.012682, 0.030657, -0.021201, -0.01133, -0.053397, 0.023057, -0.055404, -0.03188, -0.007521, 0.032516, 0.008735, 0.012914, -0.027602, 0.075849, -0.07379, 0.071894, -0.000661, -0.009927, 0.09995, 0.076168, 0.073012, -0.068015, -0.007575, 0.032786, -0.091501, 0.029462, 0.055377, -0.010909, 0.026499, -0.051627, -0.020616, 0.056423, 0.024021, -0.004708, 0.022163, -0.002882, 0.125926, 0.050243, -0.025496, -0.001462, 0.011042, 0.013021, -0.054588, -0.069497, -0.006443, 0.048956, -0.014452, 0.097342, -0.018018, 0.028013, 0.038937, 0.019929, 0.05353, 0.044317, 0.002914, 0.000382, 0.028268, -0.039552, -0.076227, -0.018679, 0.008021, 0.113923, 0.009165, 0.038406, -0.035553, 0.023256, 0.015138, -0.024021, 0.060365, 0.0, 4.5e-05, 0.048177, 0.011719, 0.041318, -0.079452, 0.066042, -0.003559, -0.031, -0.036471, 0.038171, -0.024727, 0.023666, 0.000712, 0.053794, 0.007545, 0.06653, -0.024295, -0.021459, 0.019988, -0.021959, -0.05085, -0.031678, -0.047187, -0.060702, 0.0556, -0.048444, 0.072079, 0.017803, -0.015525, -0.011073, 0.003486, -0.049646, 0.004361, -0.031248, 0.041659, -0.003769, -0.007453, -0.043429, 0.03421, -0.070871, -0.057584, 0.01443, 0.008075, 0.081855, -0.03417, -0.049653, 0.110507, -0.040975, -0.072615, 0.07878, 0.008752, 0.009927, -0.04524, -0.070324, -0.077879, -0.000843, -0.018486, 0.084185, -0.036433, -0.002631, 0.052838, -0.008908, 0.004929, 0.014631, -0.029198, 0.036463, -0.068419, -0.006691, 0.122297, 0.018667, -0.010908, -0.045899, -0.005294, 0.007435, 0.039828, 0.018342, 0.055208, -0.043782, 0.010694, -0.031317, -0.042081, -0.003699, 0.039738, -0.021408, 0.07898, -0.028914, 0.046179, -0.062681, 0.127298, 0.093434, 0.011041, -0.088805, -0.005545, 0.001532, -0.020785, -0.0, -0.105033, 0.000407, 0.053184, 0.00321, -0.000784, 0.045069, -0.021528, -0.089168, -0.083555, -0.110311, -0.048291, 0.046803, 0.060417, -0.012477, -0.016589, 0.000182, -0.038253, -0.01287, 0.009871, -0.02986, 0.036457, 0.119593, 0.027671, 0.128299, -0.00476, -0.015201, 0.013511, -0.081138, 0.014375, 0.004025, 0.082359, 0.013878, 0.017772, 0.053696, -0.041101, -0.004077, -0.001896, -0.139509, 0.083065, -0.026465, 0.065311, -0.0259, -0.0161, -0.095211, -0.088945, -0.056307, 0.065828, 0.020092, 0.010393, 0.009207, -0.065349, -0.055367, -0.025443, 0.029128, -0.040238, -0.088418, -0.001532, -0.073205, 0.094356, -0.008189, 0.044657, -0.017779, 0.050546, -0.03949, 0.040995, -0.090277, -0.03322, 0.001592, -0.057499, 0.046444, -0.075728, -0.059922, -0.004383, -0.021804, -0.007965, -0.014733, 0.018614, -0.035307, -0.123201, 0.008423, -0.072889, 0.037277, -0.044699, -0.057202, -0.010733, 0.188071, -0.031057, -0.06003, -0.011303, 0.024359, -0.077979, -0.046321, -0.029701, -0.023542, -0.025098, -0.0, 0.069595, 0.042871, -0.02531, 0.077496, -0.086758, -0.029316, -0.10638, -0.101377, 0.05135, -0.028348, 0.086763, -0.039033, 0.030594, -0.044762, 0.120759, -0.005658, -0.048159, 0.097894, -0.026623, 0.072577, 0.058167, 0.009145, -0.051876, 0.118612, 0.029836, -0.019309, 0.059306, 0.048733, -0.072373, 0.008683, 0.005478, 0.031974, -0.006726, -0.001219, 0.045412, 0.005628, -0.031386, 0.004669, 0.035031, 0.039053, 0.051929, 0.071929, -0.020853, 0.043736, -0.008435, 0.006341, -0.001382, 0.084448, 0.032171, 0.036816, 0.001533, -0.01086, 0.034452, -0.015858, 0.066036, -0.004771, -0.011225, -0.032393, -0.00061, -0.002095, 0.017606, -0.007239, -0.062619, -0.001723]"
ARG-14_1988-T39,Premise,Qualifications for the office of Vice President or President are not age alone,Premise,T1,1984,2062,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,You must look at accomplishments,Premise,T3,2064,2096,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,you must look at experience,Premise,T4,2102,2129,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,I have more experience than others that have sought the office of Vice President,Premise,T2,2131,2211,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,On each one of those issues I have more experience than does the Governor of Massachusetts,Premise,T5,2466,2556,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,"In national security and arms control, you have to understand the difference between a ballistic missile, a warhead, what throwweight, what megatonnage is",Premise,T6,2558,2712,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,You better understand about telemetry and encryption,Premise,T7,2714,2766,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,you better understand that you have to negotiate from a position of strength,Premise,T8,2772,2848,QUAYLE,1988-10-05,
ARG-14_1988-T39,Premise,"In the area of jobs and education, I wrote the Job Training Partnership Act, a bipartisan bill",Premise,T11,2941,3035,QUAYLE,1988-10-05,
