unique_id,id,year,text,label
1988_748d0e58b4405e784e6c10eff1d9d9c1,T1,1988,If I knew of three new weapons systems that I thought were purely waste and weren't protected by the Congress,Premise
1988_7d00f42e4cf6ef298978cf1c27ccd318,T2,1988,they wouldn't be in the budget,Claim
1988_77110f04678f0c02923b36ef0c4f7e0b,T3,1988,They would not be in the budget,Claim
1988_bf054fb38de2fee134165012b5d123e1,T4,1988,"I'll give you one, that HMET, that heavy truck, that's cost what is it $850 million and the Pentagon didn't request it and, yet, a member of Congress, a very powerful one, put it in the budget",Premise
1988_f79bba06f64bf5d7fb4369e3db2b3eba,T5,1988,I think we can save money through this whole very sophisticated concept,Claim
1988_7f79ff635fa4bb35cc867c2d2303ce71,T6,1988,I know you do understand of competitive strategies,Premise
1988_8db474cd49e2a0559b0ac64f959eeff0,T7,1988,It is new and it is very very different than what's happened,Premise
1988_108c8509193ef85c9386af32ff3571e7,T8,1988,it's not quite ready to be totally implemented,Premise
1988_9b62f3e0f7bb8c38d28bb923c48ac909,T9,1988,it's very important,Claim
1988_e8b2de46743b82bff05c577e07beb1b0,T10,1988,"I think we can say, through the Packard Commission Report and I'm very proud that David Packard, the originator of that report, is strongly supporting me",Premise
1988_8a3b8ffeccc2fe793b0c2036bdb8b44a,T11,1988,it's not a question of saying our budget is full of a lot of waste,Claim
1988_babdc62423bfac620520602f2a7a6cb2,T12,1988,I don't believe that,Claim
1988_76a07dbde6d071821a2ed0632ac477af,T13,1988,I do think this,Claim
1988_bf671b8496550e1a8def28422412c5bb,T14,1988,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks,Premise
1988_fcc88625a7dad9aa19ca30884f019a04,T15,1988,we're protecting a couple of options in terms of modernizing our strategic forces,Premise
1988_e581f20a1dfabda845f88371662dde13,T16,1988,My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with,Claim
1988_645e71c5e2eed342a24f306a01285c26,T17,1988,we are protecting both of them,Premise
1988_1e70944ef224fd2180f770799c7fea98,T18,1988,We are moving forward with negotiations,Premise
1988_80ba130f6ac8071a2db33df49d8468e4,T19,1988,I just think it would be dumb negotiating policy with the Soviets to cut out one or the other of the two options right now,Claim
1988_7283f957bc0ee6885fd9d5cda4ffbeec,T20,1988,The Soviets are modernizing,Premise
1988_9e87c708d6aa34a26d4e8976dee7cf88,T21,1988,They continue to modernize,Premise
1988_e35d4e4f44b75f2741dbabbcd01f396a,T22,1988,"we can't simply we've got enough nuclear weapons, let's freeze",Claim
1988_3b7ac7b0f3c4f945aac9ed913f7577dd,T23,1988,We can't do that,Claim
1988_680536bfb4010963cc93708c3b67ebc2,T24,1988,We have to have modernization,Claim
1988_f682582cb3455711c7075083f8cf9f35,T25,1988,if we achieve the 50 percent reduction in strategic weapons that our President is taking the leadership to attain,Premise
1988_92c5e0b26f3d8b4cf1ae0ccf2b826e42,T26,1988,that's the way I'd reply to it,Claim
1988_22ca52ec4990eab3fae67a872e30691a,T27,1988,I believe we can have the strongest and best defense possible,Claim
1988_b6879e9b899d2a2249f0ad7917596440,T28,1988,if we modernize,Premise
1988_9fa40481ec8938b4eb0ad56d5d69492a,T29,1988,if we go forward with competitive strategies,Premise
1988_f45fb4b8652ca25a9a8f49becc8dc2eb,T30,1988,if we do follow through on the Packard Commission report,Premise
1988_ad26c55b478057927a592f0e2077cbd9,T31,1988,we've just had another example of why the Vice President's mathematics just don't add up,Premise
1988_888ef19d5bb294fb83f5a94f5c3cfc4e,T32,1988,there's no way that we can build all of the weapons the Vice President says he wants to build within the defense budget,Claim
1988_ceea55a1d7f19bd6645f494bab88ab41,T33,1988,I think you know because you've covered these issues,Premise
1988_1be0997340b440d0a5dc005366880f63,T34,1988,Everybody knows that including the people at the Pentagon,Premise
1988_ff3e7e6e6d781f1cbbe8852dff2c70db,T35,1988,"my defense secretary is going to have a lot to do with those decisions, but it's going to be the President who's going to have to ultimately decide before that budget goes to the Congress what weapons systems are going to go and what are going to stay",Premise
1988_114bcbcf9b391a8b7a5cb447f82b327e,T36,1988,We are not going to spend the billions and trillions that Mr. Bush wants to spend on Star Wars,Claim
1988_fe9ecf9506eade82f0aada6556a34ba6,T37,1988,We're not going to spend billions on MX's on railroad cars,Claim
1988_12b5842fd1e5ce22c69a6d38be63358a,T38,1988,which is a weapons system we don't need,Premise
1988_20a7ac05b22f3626415ab79a60f3cb50,T39,1988,can't afford,Premise
1988_9588b3fb89af46b309ff922b823f112a,T40,1988,won't help our defense posture at all,Premise
1988_a1ffd90322b23fcbde952846a5db78ea,T41,1988,We're not going to spend hundreds of millions on a space plane from Washington to Tokyo,Claim
1988_4f4b9085a7f5fc436608274793d853da,T42,1988,Those are decisions that the chief executive has to make,Claim
1988_3ac1d6e783383652d9de3cafe1c8c8f8,T43,1988,"Yes, we're going to have a strong and credible and effective nuclear deterrent",Claim
1988_5a1562545a05eb0f06101632cad3bae9,T44,1988,We're going to go forward with the Stealth and the D-5 and the advance cruise missile and good conventional forces,Claim
1988_28f20ee8980a8ff458338f1da8cc0ddb,T45,1988,the next President of the United States will have to make some tough and difficult decisions,Claim
1988_ffc9dac5060d4926b14779c444580aee,T46,1988,I'm prepared to make them,Claim
1988_55274ec0d50976803e736d1c296e741e,T47,1988,the Vice President is not,Claim
1988_264606826468ae0cbf3249bd7ac10e51,T48,1988,"today we have 13,000 strategic nuclear warheads, on land, on air and in the sea",Premise
1988_a3fecca24308b2aec4aa8b24c5496238,T49,1988,That's an incredibly powerful nuclear deterrent,Claim
1988_4e376a53499082d190301b3004d3b398,T50,1988,I don't rule out modernization,Claim
1988_91551b65b7c8f8d440e2fd0b957f8d65,T51,1988,"there are discussions going on now in the Congress, I know with the Pentagon, about a less expensive modernized land-based leg of the triad",Premise
1988_877f0ce8548c1a9ac342f40d600addfb,T52,1988,there are limits to what we can spend,Premise
1988_4fa6d03184dd883d5cc30170ed27fe25,T53,1988,There are limits to this nation's ability to finance these weapons systems,Premise
1988_6c17afc9470321bb9f2c1cbd9d10c830,T54,1988,one of the things that the Vice President either ignores or won't address is the fact that you can't divorce our military security from our economic security,Premise
1988_1ce9ddc1339821329921580d6fc52701,T55,1988,How can we build a strong America militarily that's teeter-tottering on a mountain of debt,Premise
1988_96fc5dc141a8703d64e68e64967d0471,T56,1988,that debt is going to grow bigger and bigger and bigger,Claim
1988_e0cb8657ecb8ded8c05ea3cda21b7e51,T57,1988,if we go forward with the kinds of policies that the Vice President is suggesting tonight and has in the past,Premise
1988_d5e355479a7728b01bd4f20139eb6234,T58,1988,military security and economic security go hand in hand,Claim
1988_a7e5334a084b45db681d3dc68177064c,T59,1988,we will have a strong and effective and credible nuclear deterrent,Claim
1988_16bc87d85c535857b5574b78b42c4f50,T60,1988,"We're going to have conventional forces that are well maintained, well equipped, well trained, well supported",Claim
1988_982c72ccc2dfe1811d58314385c99019,T61,1988,we have serious problems with our conventional forces at the present time,Claim
1988_125d48d367940e520609d50b42dcca0c,T62,1988,they'll get worse unless we have a president who is willing to make some of these decisions,Claim
1988_04f381d4ea3cc1c852128931492331b2,T63,1988,"we also have important domestic priorities, in education and housing and health care, in economic development, in job training, in the environment",Claim
1988_9dec86e73fedb00586b2b45251f35689,T64,1988,I want the men and women of our Armed Forces to have the support they need to defend us,Claim
1988_aa014f7e48ba99bab282d919576f6b22,T65,1988,the support they need when they risk our lives to keep us free and to keep this country free,Claim
1988_c954347d576e13f6ca296dbdfc037e00,T66,1988,we cannot continue to live on a credit card,Claim
