year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type,speech_turn
2000,"I'm against quotas. This is, with all due respect, Governor, that's a red herring.",Ad Hominem,GORE,17 10 2000,T185,66963 66981,I'm against quotas,28_2000,Claim,"I believe in this goal and effort with all my heart. I believe that our future as a nation depends upon whether or not we can break down these barriers that have been used to pit group against group, and bring our people together. How do you do it? Well, you establish respect for differences. You don't ignore differences. It's all too easy for somebody in the majority in the population to say oh, we're just all the same, without an understanding of the different life experience that you've had, that others have had. Once you have that understanding and mutual respect, then we can transcend the differences and embrace the highest common denominator of the American spirit. I don't know what affirmative access means. I do know what affirmative action means. I know the governor is against it, and I know that I'm for it. I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death. I'm for that proposed law, the governor is against it. I know what it means to have a commitment to diversity. I am part of an administration that has the finest record on diversity. And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it. Because we're able to draw on the wisdom and experience from different parts of the society that hadn't been tapped in the same way before. And incidentally, Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri. And I want to honor that among his other achievements here. Now, I just believe that what we have to do is enforce the civil rights laws. I'm against quotas. This is, with all due respect, Governor, that's a red herring. Affirmative action isn't quotas. I'm against quotas, they're illegal. They're against the American way. Affirmative action means that you take extra steps to acknowledge the history of discrimination and injustice and prejudice and bring all people into the American dream because it helps everybody, not just those who are directly benefitting."
2000,"But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits.",Appeal to Emotion,BUSH,17 10 2000,T344,77887 78058,"if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits",28_2000,Claim,"Thank you for your question. (LAUGHTER) I -- there's an old high school debating trick, which is to answer something and then attack your opponent at the end. You asked about promises. You were promised that Medicare would be reformed, and that Social Security would be reformed. You were promised a middle-class tax cut in 1992. It didn't happen. There's too much bitterness in Washington. There's too much wrangling. It's time to have a fresh start. One of the reasons I was successful as the governor of Texas is because I didn't try to be all things to all people. When I campaigned in a race, a lot of folks didn't think I could win including, by the way, my mother. (LAUGHTER) I said I'd do four things; tort reform, education reform, welfare reform and juvenile justice reform. And I won. And I had the will of the people in my state behind me. And then I brought folks together to get it done. And that's what we need, I think, in this election. To me that's what it's all about. I'm sure your 6th grade kids are listening and saying, these guys will say anything to get elected. But there's a record, and that's what I hope people look at. One of my promises is going to be Social Security reform, and you bet, we need to take a trillion dollars out of that $2.4 trillion surplus. Now remember, Social Security revenue exceeds expenses up until 2015. People are going to get paid. But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits. And you bet we're gonna take a trillion dollars of your own money and let you invest it under safe guidelines so you get a better rate of return on the money than the paltry 2% that the federal government gets for you today. That's one of my promises. But it's gonna require people to bring both Republicans and Democrats together to get it done. That's what it requires. There was a chance to get this done. It was a bipartisan approach, but it's been rejected. I'm going to bring them together."
2000,"If you want somebody who is willing to fight for you, I am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in America, and be the better for it.",Appeal to Authority,GORE,17 10 2000,T388,81557 81779,"If you want somebody who is willing to fight for you, I am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in America, and be the better for it",28_2000,Claim,"Thank you very much, Jim, and I'll begin by answering your questions -- your last question. I believe that a lot of people are skeptical about people in politics today because we have seen a time of great challenge for our country. Since the assassination of our best leaders in the '60's, since the Vietnam War, since Watergate, and because we need campaign finance reform. I would like to tell you something about me. I keep my word. I have kept the faith. I've kept the faith with my country. I volunteered for the Army. I served in Vietnam. I kept the faith with my family. Tipper and I have been married for 30 years. We have devoted ourselves to our children and now our nearly one-and-a-half-year-old grandson. I have kept the faith with our country. Nine times I have raised my hand to take an oath to the Constitution, and I have never violated that oath. I have not spent the last quarter century in pursuit of personal wealth. I have spent the last quarter century fighting for middle-class working men and women in the United States of America. I believe very deeply that you have to be willing to stand up and fight no matter what powerful forces might be on the other side. If you want somebody who is willing to fight for you, I am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in America, and be the better for it. We've made some progress during the last eight years. We have seen the strongest economy in the history of the United States. Lower crime rates for eight years in a row. Highest private home ownership ever, but I'll make you one promise here. You ain't seen nothing yet. And I will keep that promise."
2000,Now you judge for yourselves whether or not that's fair.,Appeal to Authority,GORE,17 10 2000,T672,34784 34839,Now you judge for yourselves whether or not that's fair,28_2000,Claim,"I'm not going to ask them. But if everyone here in this audience was dead on in the middle of the middle-class, then the tax cuts for every single one of you all added up would be less than the tax cut his plan would give to just one member of that top wealthiest 1%. Now you judge for yourselves whether or not that's fair."
2000,"That was in an ad, Jim, that was knocked down by the journalists who analyzed the ad and said it was misleading.",Appeal to Authority,GORE,17 10 2000,T692,31401 31513,"That was in an ad, Jim, that was knocked down by the journalists who analyzed the ad and said it was misleading.",28_2000,Premise,"That was in an ad, Jim, that was knocked down by the journalists who analyzed the ad and said it was misleading."
2000,"And incidentally, Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri. And I want to honor that among his other achievements here.",Appeal to Authority,GORE,17 10 2000,T201,66701 66823,Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri,28_2000,Claim,"I believe in this goal and effort with all my heart. I believe that our future as a nation depends upon whether or not we can break down these barriers that have been used to pit group against group, and bring our people together. How do you do it? Well, you establish respect for differences. You don't ignore differences. It's all too easy for somebody in the majority in the population to say oh, we're just all the same, without an understanding of the different life experience that you've had, that others have had. Once you have that understanding and mutual respect, then we can transcend the differences and embrace the highest common denominator of the American spirit. I don't know what affirmative access means. I do know what affirmative action means. I know the governor is against it, and I know that I'm for it. I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death. I'm for that proposed law, the governor is against it. I know what it means to have a commitment to diversity. I am part of an administration that has the finest record on diversity. And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it. Because we're able to draw on the wisdom and experience from different parts of the society that hadn't been tapped in the same way before. And incidentally, Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri. And I want to honor that among his other achievements here. Now, I just believe that what we have to do is enforce the civil rights laws. I'm against quotas. This is, with all due respect, Governor, that's a red herring. Affirmative action isn't quotas. I'm against quotas, they're illegal. They're against the American way. Affirmative action means that you take extra steps to acknowledge the history of discrimination and injustice and prejudice and bring all people into the American dream because it helps everybody, not just those who are directly benefitting."
2000,And it's now the smallest number that we have had since the -- the smallest in size since John Kennedy's administration.,Appeal to Authority,GORE,17 10 2000,T832,48056 48175,And it's now the smallest number that we have had since the -- the smallest in size since John Kennedy's administration,28_2000,Premise,"Well, it was not one of my ads, either, Governor. But I am familiar with the statement, and it was made by one of the top-ranking officials of that organization. Let me tell you my position. I think that some common sense gun safety measures are certainly needed with the flood of cheap handguns that have sometimes been working their way into the hands of the wrong people. But all of my proposals are focused on that problem, gun safety. None of my proposals would have any effect on hunters, or sportsmen, or people who use rifles. They're aimed at the real problem. Let's make our schools safe, let's make our neighborhoods safe. Let's have a three-day waiting period, cooling off, so we can have a background check to make sure that criminals and people who really shouldn't have guns don't get them. But I would like to use my remaining time on this exchange, Jim, to respond to an exchange that took place just a moment ago. Because a couple of times the governor has said that I am for a bigger government. Governor, I'm not. And let me tell you what the record shows. For the last eight years I have had the challenge of running the streamlining program called Reinventing Government. And if there are any federal employees in this group, you know what that means. The federal government has been reduced in size by more than 300,000 people. And it's now the smallest number that we have had since the -- the smallest in size since John Kennedy's administration. During the last five years, Texas's government has gone up in size. Federal government has gone down, Texas's government has gone up. Now, my plan for the future, I see a time when we have smaller, smarter government where you don't have to wait in line because you can get services online cheaper, better, faster. We can do that."
2000,I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death.,Appeal to Emotion,GORE,17 10 2000,T198,66102 66216,I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death,28_2000,Claim,"I believe in this goal and effort with all my heart. I believe that our future as a nation depends upon whether or not we can break down these barriers that have been used to pit group against group, and bring our people together. How do you do it? Well, you establish respect for differences. You don't ignore differences. It's all too easy for somebody in the majority in the population to say oh, we're just all the same, without an understanding of the different life experience that you've had, that others have had. Once you have that understanding and mutual respect, then we can transcend the differences and embrace the highest common denominator of the American spirit. I don't know what affirmative access means. I do know what affirmative action means. I know the governor is against it, and I know that I'm for it. I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death. I'm for that proposed law, the governor is against it. I know what it means to have a commitment to diversity. I am part of an administration that has the finest record on diversity. And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it. Because we're able to draw on the wisdom and experience from different parts of the society that hadn't been tapped in the same way before. And incidentally, Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri. And I want to honor that among his other achievements here. Now, I just believe that what we have to do is enforce the civil rights laws. I'm against quotas. This is, with all due respect, Governor, that's a red herring. Affirmative action isn't quotas. I'm against quotas, they're illegal. They're against the American way. Affirmative action means that you take extra steps to acknowledge the history of discrimination and injustice and prejudice and bring all people into the American dream because it helps everybody, not just those who are directly benefitting."
2000,And I had the will of the people in my state behind me.,Appeal to Emotion,BUSH,17 10 2000,T332,77293 77343,I had the will of the people in my state behind me,28_2000,Premise,"Thank you for your question. (LAUGHTER) I -- there's an old high school debating trick, which is to answer something and then attack your opponent at the end. You asked about promises. You were promised that Medicare would be reformed, and that Social Security would be reformed. You were promised a middle-class tax cut in 1992. It didn't happen. There's too much bitterness in Washington. There's too much wrangling. It's time to have a fresh start. One of the reasons I was successful as the governor of Texas is because I didn't try to be all things to all people. When I campaigned in a race, a lot of folks didn't think I could win including, by the way, my mother. (LAUGHTER) I said I'd do four things; tort reform, education reform, welfare reform and juvenile justice reform. And I won. And I had the will of the people in my state behind me. And then I brought folks together to get it done. And that's what we need, I think, in this election. To me that's what it's all about. I'm sure your 6th grade kids are listening and saying, these guys will say anything to get elected. But there's a record, and that's what I hope people look at. One of my promises is going to be Social Security reform, and you bet, we need to take a trillion dollars out of that $2.4 trillion surplus. Now remember, Social Security revenue exceeds expenses up until 2015. People are going to get paid. But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits. And you bet we're gonna take a trillion dollars of your own money and let you invest it under safe guidelines so you get a better rate of return on the money than the paltry 2% that the federal government gets for you today. That's one of my promises. But it's gonna require people to bring both Republicans and Democrats together to get it done. That's what it requires. There was a chance to get this done. It was a bipartisan approach, but it's been rejected. I'm going to bring them together."
2000,"We're America, and we believe in our future and we know we have the ability to shape our future.",Appeal to Emotion,GORE,17 10 2000,T124,60114 60138,we believe in our future,28_2000,Claim,"We've got to change it. I spend a good deal of time talking to young people, and in my standard speech out there on the stump I usually end my speech by saying, I want to ask you for something and I want to direct it especially to the young people in the audience. And I want to tell you what I tell them. Sometimes people who are very idealistic and have great dreams, as young people do, are apt to stay at arm's length from the political process because they think their good hearts might be brittle, and if they invest their hopes and allow themselves to believe, then they're gonna be let down and disappointed. But thank goodness we've always had enough people who have been willing in every generation to push past the fear of a broken heart and become deeply involved in forming a more perfect union. We're America, and we believe in our future and we know we have the ability to shape our future. Now, we've got to address one of the biggest threats to our democracy. And that is the current campaign financing system. And I know they say it doesn't rank anywhere on the polls. I don't believe that's a fair measure. I'm telling you, I will make it the -- I will make the McCain-Feingold Campaign Finance Reform bill the very first measure that I send to the Congress as president. Governor Bush opposes it. I wish that he would consider changing his mind on that. Because I think that the special interests have too much power, and we need to give our democracy back to the American people. Let me tell you why. Those issues you mentioned, Social Security, prescription drugs, the big drug companies are against the prescription drug proposal that I've made. The HMOs are against the patient's rights bill, the Dingle-Norwood bill that I support, and that Gov. Bush does not support. The big oil companies are against the measures to get more energy independence and renewable fuel. They ought to have their voices heard, but they shouldn't have a big megaphone that drowns out the American people. We need campaign finance reform and we need to shoot straight with young and old alike and tell them what the real choices are. And we can renew and rekindle the American spirit and make our future what our founders dreamed it could be. We can."
