Year;Date;SectionID;text;fallacy;subcategory;Speaker;real_date;Component_T;ann_filename;Component_span
1960;26Sep;1;they are important and dangerous now because they are mounting a major effort within their own country;Appeal to Emotion;Appeal to fear;KENNEDY;26 9 1960;T6;1_1960.ann;1978 2035
1960;26Sep;1;they are important and dangerous now because they are mounting a major effort within their own country;Appeal to Emotion;Appeal to fear;KENNEDY;26 9 1960;T6;1_1960.ann;1978 2035
1960;26Sep;1;In 1933, Franklin Roosevelt said in his inaugural that this generation of Americans has a rendezvous with destiny;Appeal to Authority;Without Evidence;KENNEDY;26 9 1960;T60;1_1960.ann;7471 7584
1960;26Sep;1;I want people in Latin America and Africa and Asia to start to look to America;Appeal to Emotion;Appeal to Emotion;KENNEDY;26 9 1960;T53;1_1960.ann;7191 7269
1960;26Sep;1;I want people in Latin America and Africa and Asia to start to look to America;Appeal to Emotion;Appeal to Emotion;KENNEDY;26 9 1960;T53;1_1960.ann;7191 7269
1960;26Sep;1;I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual;Appeal to Emotion;Appeal to pity;KENNEDY;26 9 1960;T24;1_1960.ann;3498 3624
1960;26Sep;1;I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual;Appeal to Emotion;Appeal to pity;KENNEDY;26 9 1960;T24;1_1960.ann;3498 3624
1960;26Sep;1;I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual;Appeal to Emotion;Appeal to pity;KENNEDY;26 9 1960;T24;1_1960.ann;3498 3624
1960;26Sep;1;I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans;Appeal to Emotion;Appeal to pity;KENNEDY;26 9 1960;T25;1_1960.ann;3626 3766
1960;26Sep;1;I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans;Appeal to Emotion;Appeal to pity;KENNEDY;26 9 1960;T25;1_1960.ann;3626 3766
1960;26Sep;1;I know what it means to be poor;Appeal to Emotion;Appeal to pity;NIXON;26 9 1960;T102;1_1960.ann;15321 15352
1960;26Sep;1;I know what it means to see people who are unemployed;Appeal to Emotion;Appeal to pity;NIXON;26 9 1960;T103;1_1960.ann;15354 15407
1960;26Sep;1;I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain;Appeal to Emotion;Flag waving;KENNEDY;26 9 1960;T1;1_1960.ann;1375 1536
