subj,subj_type,subj_span,obj,obj_type,obj_span,relation
It's also a pleasure to be with my 2 opponents this evening,Premise,"((1838, 1897),)",it's a special honor to share this stage with you,Claim,"((1928, 1977),)",Support
Qualifications,Claim,"((7538, 7552),)",I've done the job,Claim,"((7576, 7593),)",Support
"What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again",Premise,"((18124, 18434),)",The lifeblood of our economy is investment,Claim,"((17935, 17977),)",Support
Vice President Quayle and Senator Gore both served on the Senate Armed Services Committee,Premise,"((26402, 26491),)",All 3 of you gentlemen have some expertise in defense and the armed forces,Claim,"((26326, 26400),)",Support
that's a false choice,Claim,"((36913, 36934),)",You don't have to have a choice between the environment and jobs,Claim,"((36936, 37000),)",Attack
Bill Clinton and I support the right of a woman to choose,Claim,"((56276, 56333),)",That doesn't mean we're pro-abortion,Premise,"((56347, 56383),)",Attack
Let's talk about the cities,Premise,"((65225, 65252),)","that's where a majority of Americans live, in urban areas",Premise,"((65262, 65319),)",Support
character is the big variable in the success,Claim,"((76864, 76908),)",Character of the leaders is the big variable in the success -- long term success -- of an administration,Claim,"((76910, 77014),)",Support
Those of us who served in Vietnam looked at you as a national hero even before you were awarded the Congressional Medal of Honor,Premise,"((1979, 2107),)",it's a special honor to share this stage with you,Claim,"((1928, 1977),)",Support
I've been there,Claim,"((7554, 7569),)",I've done the job,Claim,"((7576, 7593),)",Support
The lifeblood of our economy is investment,Claim,"((17935, 17977),)",right now when we pay $350 -- we borrow $350 billion a year it saps the money markets and the private investors are not getting their share,Premise,"((17983, 18122),)",Attack
"Admiral Stockdale, of course, has a very distinguished military career",Premise,"((26493, 26563),)",All 3 of you gentlemen have some expertise in defense and the armed forces,Claim,"((26326, 26400),)",Support
you can have both,Claim,"((37004, 37021),)",You don't have to have a choice between the environment and jobs,Claim,"((36936, 37000),)",Support
we believe there are way too many abortions in this country,Claim,"((56394, 56453),)",That doesn't mean we're pro-abortion,Premise,"((56347, 56383),)",Attack
"that's where a majority of Americans live, in urban areas",Premise,"((65262, 65319),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
I think there is a case to be made for putting emphasis on character over these issues that we've been batting back and forth and have a life of their own,Claim,"((76640, 76794),)",Character of the leaders is the big variable in the success -- long term success -- of an administration,Claim,"((76910, 77014),)",Support
"Mr. Vice President -- Dan, if I may -- it was 16 years ago that you and I went to the Congress on the very first day together",Premise,"((2113, 2238),)",it's a special honor to share this stage with you,Claim,"((1928, 1977),)",Support
I've been tested,Claim,"((7595, 7611),)",I've done the job,Claim,"((7576, 7593),)",Support
"Bill Clinton and I will create good, high-wage jobs for our people",Claim,"((18560, 18626),)",Bill Clinton's top priority is putting America back to work,Claim,"((18499, 18558),)",Support
They've already started in the defense budget,Premise,"((26650, 26695),)",there are going to be major cuts,Claim,"((26616, 26648),)",Support
Look at the president's record: clean air legislation passed the Democratic Congress because of the leadership of George Bush,Premise,"((37023, 37148),)",It is the most comprehensive clean air act in our history,Claim,"((37150, 37207),)",Support
the way to reduce them is by reducing the number of unwanted pregnancies,Claim,"((56459, 56531),)",we believe there are way too many abortions in this country,Claim,"((56394, 56453),)",Support
"Their streets, their schools are like war zones",Premise,"((65546, 65593),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
"I went to a friend of mine in New York some years ago and he was a president of a major TV network and he said, you know, I think we have messed up this whole -- this election process -- it was an election year -- by stressing that -- putting out the dogma that issues are the thing to talk about, not character",Premise,"((77016, 77327),)","He said, I felt so strongly about this, I went back and read the Lincoln-Douglas debates",Premise,"((77330, 77418),)",Support
I'll make you a deal this evening,Premise,"((2240, 2273),)","If you don't try to compare George Bush to Harry Truman, I won't compare you to Jack Kennedy",Claim,"((2275, 2367),)",Support
I've done the job,Claim,"((7576, 7593),)",I've done the job,Claim,"((7576, 7593),)",Equivalent
the same way he has done in his state,Premise,"((18628, 18665),)",Bill Clinton's top priority is putting America back to work,Claim,"((18499, 18558),)",Support
He and I have both fought for change within the Democratic Party as well as within the country,Premise,"((27147, 27241),)",Bill Clinton and I support a strong national defense,Claim,"((27093, 27145),)",Support
we have a good record with which to stand,Premise,"((37262, 37303),)",We are firmly behind preserving our environment,Claim,"((37209, 37256),)",Support
the way to reduce them is by reducing the number of unwanted pregnancies,Claim,"((56459, 56531),)",not vetoing family planning legislation the way George Bush has consistently done,Claim,"((56533, 56614),)",Attack
"There's an epidemic of drugs, crime and violence",Premise,"((65496, 65544),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
"He said, I felt so strongly about this, I went back and read the Lincoln-Douglas debates",Premise,"((77330, 77418),)",Read those debates,Premise,"((77420, 77438),)",Support
"Harry Truman, it's worth remembering, assumed the presidency when Franklin Roosevelt died here in Georgia",Premise,"((2522, 2627),)",only one of many occasions when fate thrust a vice president into the Oval Office in a time of crisis,Premise,"((2631, 2732),)",Support
the same way he has done in his state,Premise,"((18628, 18665),)","Bill Clinton and I will create good, high-wage jobs for our people",Claim,"((18560, 18626),)",Support
"In the aftermath of the Cold War, the definition of strong national defense has obviously changed somewhat",Premise,"((27243, 27349),)","George Bush wants to maintain at least 150,000 American soldiers in Europe, even though World War II ended 50 years ago",Premise,"((27364, 27483),)",Attack
It is the most comprehensive clean air act in our history,Claim,"((37150, 37207),)",We are firmly behind preserving our environment,Claim,"((37209, 37256),)",Support
Bill Clinton and I support the right of a woman to choose,Claim,"((56276, 56333),)",we believe that during the early stages of a pregnancy the government has no business coming in and ordering a woman to do what the government thinks is best,Claim,"((56700, 56857),)",Support
The aid that once came from the federal and state governments has been drastically cut,Premise,"((65408, 65494),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
Read those debates,Premise,"((77420, 77438),)",Douglas is all character,Premise,"((77463, 77487),)",Support
only one of many occasions when fate thrust a vice president into the Oval Office in a time of crisis,Premise,"((2631, 2732),)",It's something to think about during the debate this evening,Claim,"((2734, 2794),)",Support
Bill Clinton has created high-wage manufacturing jobs at 10 times the national average,Premise,"((18667, 18753),)","Bill Clinton and I will create good, high-wage jobs for our people",Claim,"((18560, 18626),)",Support
"In the aftermath of the Cold War, the definition of strong national defense has obviously changed somewhat",Premise,"((27243, 27349),)",Bill Clinton and I support a strong national defense,Claim,"((27093, 27145),)",Support
We are firmly behind preserving our environment,Claim,"((37209, 37256),)",it's a false choice,Claim,"((37406, 37425),)",Attack
we believe that during the early stages of a pregnancy the government has no business coming in and ordering a woman to do what the government thinks is best,Claim,"((56700, 56857),)",What Dan Quayle and George Bush and Jerry Falwell and Pat Robertson think is the right decision in a given set of circumstances is their privilege,Premise,"((56859, 57005),)",Attack
They've lost sources of tax revenue,Premise,"((65371, 65406),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
Douglas is all character,Premise,"((77463, 77487),)",He knows all of the little stinky numbers these guys do,Premise,"((77489, 77544),)",Support
But our real discussion is going to be about change,Claim,"((2796, 2847),)",Bill Clinton and I stand for change,Claim,"((2849, 2884),)",Support
