unique_id,id,year,text,label
1960_a70fdbd9c3b56c7b109254ad7918aad6,T1,1960,"Mr. Nixon knows very well that in this - in this whole matter that's been involved with the so-called religious discussion in this campaign, I've never suggested, even by the vaguest implication, that he did anything but disapprove it",Premise
1960_87a2d7eabf42c3753f845f39d71703c8,T2,1960,that's my view now,Claim
1960_821a264d01f2602a3265bf69f0c924c3,T3,1960,I welcome this opportunity to join Senator Kennedy completely on that statement,Claim
1960_e9a5e671c56975ef2a2c4e3c365abf37,T4,1960,"The Ku Klux Klan is riding again in this campaign. If it doesn't stop, all bigots will vote for Nixon and all right-thinking Christians and Jews will vote for Kennedy rather than be found in the ranks of the Klan-minded",Claim
1960_0c5ed0a079d78e9dae7dbdad63421667,T5,1960,"Mr. Griffin, I believe, who is the head of the Klan, who lives in Tampa, Florida, indicated a - in a statement, I think, two or three weeks ago that he was not going to vote for me, and that he was going to vote for Mr. Nixon",Premise
1960_0f051d120f420208691fad9b28a3dab2,T198,1960,I disapprove of the issue,Claim
1960_1fe24a1a388cf5fe803f3677e37103e1,T199,1960,I do not suggest that Mr. Nixon does in any way,Claim
1960_5be5df7a647c3021f5eb73f8b7fe1f6f,T200,1960,I don't suggest that,Claim
1960_c2396fc2eb5c99ad10ed434b08038709,T201,1960,I don't support it,Claim
1960_eb85d4fa0aedc5ba476f18d923bdcba1,T202,1960,That's absurd,Claim
1960_990dd871462c98fe0017701a8822f192,T203,1960,I would disagree with it,Claim
1960_4d8c3b8c101ec85b533e039d1804f527,T205,1960,"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan",Claim
1960_72384ddca63a675e86f17c0e8caab195,T207,1960,I pointed out that it was my position that Americans must choose the best man that either party could produce,Claim
1960_d58cca86a76519eed8b720c9bd957531,T208,1960,We can't settle for anything but the best,Premise
1960_9e3bbd30e27cc9eef485f0de438b6e5e,T209,1960,the best man that this nation can produce,Premise
1960_2470298f4c94c4a5e818fd3dd18a5495,T210,1960,we can't have any test of religion,Premise
1960_8eb86d7aa6e4b93956b59e7740c2ac6b,T211,1960,We can't have any test of race,Premise
1960_ebf039014d94b75637d630c108cc8fcb,T212,1960,It must be a test of a man,Premise
1960_789be0ce3de3de07d9763bcba47e8775,T213,1960,we certainly cannot have it in a presidential campaign,Claim
1960_a06416593a2514242abbd21d47b98ef0,T214,1960,We cannot have it in our hearts,Premise
1960_b75d001e741b30c6bcb32ddbefd4f96a,T215,1960,I obviously repudiate the Klan,Claim
1960_290460f178f46032295f408c7b9e7510,T216,1960,I repudiate anybody who uses the religious issue,Claim
1960_6edaf232c3c560ca1250e61adcbab1a8,T217,1960,I will not tolerate it,Claim
1960_e2c804f4d0b294539290e6abd55146a6,T218,1960,I have ordered all of my people to have nothing to do with it,Premise
1960_b7e1b1153f05698c777d41a845421f4f,T219,1960,if you believe in America,Premise
1960_1f553e7494839f969b3d5d95193f0dd5,T220,1960,if you want America to set the right example to the world,Premise
1960_d015925e907a4da20c57bea8189dc032,T221,1960,we cannot have religious or racial prejudice,Claim
1960_46f4e60f2bb898577a05da6c312d6cee,T222,1960,I have seen Communism abroad,Premise
1960_9c4d9e5e35381eb7c5cc3baf63e063e0,T223,1960,I see what it does,Premise
1960_646d30fecb24efdf7eb9651003a221e0,T224,1960,Communism is the enemy of all religions,Claim
1960_8e89bbb70ce44c427381cf78071cb292,T225,1960,we who do believe in God must join together,Claim
1960_85a30d76de203cc55f9bc853f08727af,T226,1960,We must not be divided on this issue,Claim
1960_c37fd59ca5385e3750d4602f7af9d28a,T227,1960,The worst thing that I can think can happen in this campaign would be for it to be decided on religious issues,Premise
1960_44ab243d101f52b88f0efd4b618c390b,T1,1960,I've stated on many occasions that the United States must meet its commitment on Berlin,Premise
1960_77c89252e3ea3bd6487ba7e1f9da501a,T2,1960,we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,Premise
1960_46777bbd304ed6a7fad9db5b89040f18,T3,1960,That has been reinforced by direct commitments of the president of the United States,Premise
1960_a75a311ac696e75695d6d05bc576e6a0,T4,1960,it's been reinforced by a number of other nations under NATO,Premise
1960_3e28bfb0b956cee0d11fb64831bde3e4,T5,1960,we have to meet if we're going to protect the security of Western Europe,Premise
1960_adbd67a6c814806b984484816433a1c3,T6,1960,I don't think that there is any doubt in the mind of any American,Claim
1960_d7ed75a5594abe0cdf2068145e5253af,T7,1960,I hope there is not any doubt in the mind of any member of the community of West Berlin,Claim
1960_6973e2e8e62cf4daa3a84a0c6bd429ab,T8,1960,I'm sure there isn't any doubt in the mind of the Russians,Claim
1960_21743228ff40adf163ab0217bbb9dcfc,T9,1960,We will meet our commitments to maintain the freedom and independence of West Berlin,Claim
1960_b1cf5bd974901fb467d86c0b9182fbe1,T10,1960,Yes,Claim
1960_4bea6e795ae5d9d6305e939b7ef6ed0b,T11,1960,the statement that Senator Kennedy made was that - to the effect that there were trigger-happy Republicans,Premise
1960_3d3534cc88b0e20a37da0fb216f545bf,T12,1960,that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans,Premise
1960_d1aea39f26f65825b936c2a2796474eb,T13,1960,I resent that comment,Claim
1960_73538bbc811e543a1938214aa9f035c2,T14,1960,I resent it,Claim
1960_52c14fce7776e0f9fa0172c701b3fcbc,T15,1960,it's an implication that Republicans have been trigger-happy,Premise
1960_ed8ab265092bfaebcc6c7c8f4175893d,T16,1960,would lead this nation into war,Claim
1960_e13d55e03d5cd142348a517c5a07cab1,T17,1960,there isn't any question about the necessity of defending Berlin,Claim
1960_edc56eb8104e11e4e122144215806364,T18,1960,the rights of people there to be free,Claim
1960_b79e96f3a36dc079ae00f92c4502b2ce,T19,1960,there isn't any question about what the united American people - Republicans and Democrats alike - would do in the event there were an attempt by the Communists to take over Berlin,Claim
1960_4ffc23c3d880a85936358075f58fc101,T20,1960,We've been strong,Premise
1960_8e376c33a259fdca5e2acb3c91d21154,T21,1960,we haven't been trigger-happy,Premise
1960_d68fa46f485040139412225af2f288ce,T22,1960,We got rid of that,Premise
1960_0d26e82bbc9223155046e11148b3b812,T23,1960,we've kept out of other wars,Premise
1960_68b8c9282a08b134121d7ed121b39376,T24,1960,that doesn't indicate that we're trigger-happy,Claim
1960_640325bee64255b128ac1a79b2a4a200,T25,1960,We had a war when we came into power in 1953,Premise
1960_6057c886ef7b05e158328ae687fb9337,T26,1960,in the event that such an attack occurred and in the event the attack was a prelude to an attack on Formosa - which would be the indication today,Claim
1960_700214b3ef980d9680f9d2d3207ef0a2,T27,1960,the Chinese Communists say over and over again that their objective is not the offshore islands,Premise
1960_8d01e5e7be5381dfed514821aea44bc4,T28,1960,they consider them only steppingstones to taking Formosa - in the event that their attack then were a prelude to an attack on Formosa,Premise
1960_d4ed05f2ff5cd1df4df8f5005da1ab42,T29,1960,"there isn't any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa",Premise
1960_c82de2282edafdab8583f52e786af1de,T30,1960,"to indicate in advance how we would respond, to indicate the nature of this response would be incorrect",Claim
1960_51e34bc8a9ad135a9b106f23dbaa767b,T31,1960,it would certainly be inappropriate,Claim
1960_56070edacd7dd7c15c2950cd86fe00f1,T32,1960,it would not be in the best interests of the United States,Claim
1960_8326077ff29edc95fa28b1da94b4e7fc,T33,1960,to do what Senator Kennedy has suggested - to suggest that we will surrender these islands or force our Chinese Nationalist allies to surrender them in advance - is not something that would lead to peace,Premise
1960_99a3267f80ba252c26093d6e3756fd08,T34,1960,it is something that would lead to war,Claim
1960_68fa8836eb064e7bbf55a09e376e3289,T35,1960,This is the history of dealing with dictators,Premise
1960_a07ba6bf175d797e0355fcb8361c166d,T36,1960,This is something that Senator Kennedy and all Americans must know,Premise
1960_368d8524a7c34d389c5835b1b73d4ee4,T37,1960,We tried this with Hitler,Premise
1960_0febb96dd685b6d9154f99a48612b1db,T38,1960,It didn't work,Premise
1960_ffa50ce3a4ec3532e47e5e9a42fddc2f,T39,1960,They don't want just Quemoy and Matsu,Claim
1960_a4fc785022a3f7e92c9414dc45fc524f,T40,1960,they don't want just Formosa,Claim
1960_0e13ca7357a2bf1647ff0bc008764fc9,T41,1960,they want the world,Claim
1960_d6c68aebafede28c32c3cd9bc623a940,T42,1960,if you surrender or indicate in advance that you're not going to defend any part of the free world,Claim
1960_73befe7d10254e1fb790cc0190f8ea1a,T43,1960,those of us who stand against surrender of territory in the face of blackmail in the ace of force by the Communists are standing for the course that will lead to peace,Claim
1960_7de7619e4aadfb85fe513c5aa1b3ac8c,T44,1960,Yes,Claim
1960_f5fbfdc2c73409edb4318e0e3887604c,T45,1960,I believe we must meet our commitment to uh - Formosa,Claim
1960_a2d920e253f3f1206e60c7e428b4feee,T46,1960,I support it and the Pescadores Island,Claim
1960_b1a5a5eaf61c418a627d0f35e896c444,T47,1960,That is the present American position,Claim
1960_745d5a75d11cac47133d9b242f485454,T48,1960,the United States now has a treaty - which I voted for in the United States Senate in 1955 - to defend Formosa and the Pescadores Island,Premise
1960_3c8d92b5a206ad6b5c255fae779c606a,T49,1960,"The islands are five or four miles, respectively, off the coast of China",Premise
1960_8567fa309475fed615ab8e0b7e471921,T50,1960,"the chairman of the Senate Foreign Relations Committee, wrote to the President, he received back on the second of October, 1958",Premise
1960_078f5896ee35569aae9e5d70fe701be7,T51,1960,The treaty does not include these two islands,Premise
1960_6dba68de32c9642e4d2e977af988c7e9,T52,1960,Mr. Nixon suggests that the United States should go to war if these two islands are attacked,Premise
1960_bf15cfac4a55f0ede9477e2e774674bb,T53,1960,"if Formosa is attacked or the Pescadores, or if there's any military action in any area which indicates an attack on Formosa and the Pescadores, then of course the United States is at war to defend its treaty",Claim
1960_5a2cd582bb9d79dad5e70155994ea3a1,T54,1960,This is a serious issue,Claim
1960_48ec8467d80fd4e830244a0662fa8020,T55,1960,"I think we ought to understand completely if we disagree, and if so, where",Claim
1960_b9b7cd217e96192d78671faa30b1dea8,T56,1960,The President of the United States has indicated they are not within the treaty area,Premise
1960_c4efa1fe128059885b8af3a08902e163,T57,1960,They were not within the treaty area when the treaty was passed in fifty-five,Premise
1960_e6987838afb84bd30367db93e2a359d4,T58,1960,"the commander of the Asiatic fleet, has said that these islands are not worth the bones of a single American",Premise
1960_0ad996020d987a794b772219c282dbf5,T59,1960,"Mr. Nixon wants to do is commit us - as I understand him, so that we can be clear if there's a disagreement - he wants us to be committed to the defense of these islands merely as the defense of these islands as free territory, not as part of the defense of Formosa",Premise
1960_74d673a7c9860094c23665febda51022,T60,1960,We have attempted to persuade Chiang Kai-shek as late as January of 1959 to reduce the number of troops he has on them,Premise
1960_3c7f538f94631e295a9f2a1a4a554f07,T61,1960,we should st- strengthen our conventional forces,Premise
1960_7e5c08abc7f1f930e77f347b485b718c,T62,1960,"I believe that we should move full time on our missile production, particularly on Minuteman and on Polaris",Claim
1960_95ec48d8a96bdb297673ebd75e35ca98,T63,1960,It may be a long period,Premise
1960_0bb99104e20f75b3739d9cb59d460591,T64,1960,we must get started immediately,Claim
1960_3cdfcf067e3567db6b42bcfb95361754,T65,1960,I feel that another effort should be made by a new Administration in January of 1961,Claim
1960_4998e1fb0448953868c13aa28f1dd124,T66,1960,to renew negotiations with the Soviet Union and see whether it's possible to come to some conclusion which will lessen the chances of contamination of the atmosphere,Premise
1960_12221ee8d7e358d7e6581cfa11289ff9,T67,1960,also lessen the chances that other powers will begin to possess a nuclear capacity,Premise
1960_074d268d0a1abf0996ffc580db0060a2,T68,1960,"There are indications, because of new inventions, that ten, fifteen, or twenty nations will have a nuclear capacity - including Red China - by the end of the presidential office in 1964",Claim
1960_78d014a9743ad795a9dd344741c90dd2,T69,1960,This is extremely serious,Premise
1960_14a725a4a1fc07154b508d8018b2ff21,T70,1960,There have been many wars in the history of mankind,Premise
1960_1612a12b72b48b0c099fb61ecd526c68,T71,1960,I think would be a great mistake,Claim
1960_9f0546790fa8331f463b93b3976600c7,T72,1960,to take a chance not make every effort that we could make to provide for some control over these weapons,Premise
1960_6f57dfad1d4bacfe40003ca42f39c012,T73,1960,"I don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",Claim
1960_2e80db6f8d73e843f6c249c7211ac517,T74,1960,Less than a hundred people have been working throughout the entire federal government on this subject,Premise
1960_51226c4a42aa22682d991bd02016ee9a,T75,1960,I believe it's been reflected in our success and failures at Geneva,Claim
1960_c4b59b26e1a2c2f796bc10d364a558c1,T76,1960,we may not succeed,Premise
1960_1f01ec21b10d041de0e2791c55ce5b56,T77,1960,The Soviet Union may not agree to an inspection system,Premise
1960_df7942d9626b5c4cba6b77c16a68f0fc,T78,1960,I think the fate not only of our own civilization,Claim
1960_c8ea9c98c8015e8acd87d9d4911063b3,T79,1960,I think the fate of world and the future of the human race is involved in preventing a nuclear war,Claim
1960_6efdcb67ac099a5963593eace932eba9,T80,1960,"If we cannot succeed, then we must strengthen ourselves",Claim
1960_32a18873f5466556819f7c8a4b60d7d9,T81,1960,These must be done,Premise
1960_5696d5022e8c46af3da80e95caf4e472,T82,1960,"I hope the next Administration will - make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels",Claim
1960_42c6631071d098482c52c3494c0d7e6a,T83,1960,Yes,Claim
1960_9ba022ec143b31c81f32bfceb4eecb68,T84,1960,under no circumstances must the United States ever make an agreement based on trust,Claim
1960_fef8b229289a5c85eefa1e51b8d87792,T85,1960,"Yes, we should make a great effort",Premise
1960_f2f231b38236a585c70558e653c06d88,T86,1960,It isn't a question of the number of people who are working in an Administration,Claim
1960_4429dc00c7e81158b8e486172ac62517,T87,1960,It's a question of who they are,Claim
1960_7182d4a85111ad7fc5c119318d6d742d,T88,1960,This has been one of the highest level operations in the whole State Department right under the President himself,Premise
1960_89e5c429c745c4a0ccc4395e885bfcca,T89,1960,we must move forward in every possible way to reduce the danger of war,Claim
1960_b94478861fcde15ffb77c22ec34b5bfd,T90,1960,to move toward controlled disarmament,Claim
1960_8c8a216dd553aad8b3677db28b0a91d7,T91,1960,to control tests,Claim
1960_efa07bad1676198948aba4c280051fd0,T92,1960,when Senator Kennedy suggests that we haven't been making an effort,Premise
1960_05a991fdb3b104672da92351c7bdceb2,T93,1960,he simply doesn't know what he's talking about,Claim
1960_ff3d7b6ebbde581d985b04eab7521076,T94,1960,There must be an absolute guarantee,Claim
1960_1e40b564af1f4611bdda2d448d99ea05,T95,1960,the United States will not defend the offshore islands,Claim
1960_3361417eb2ddf06be1e97fb6fd6dc6fe,T96,1960,that amendment put the Senate of the United States on record with a majority of the Senator's own party voting for it,Premise
1960_f052eee0b99c91f335c8d24ff399795f,T97,1960,the majority of Republicans - put them on record - against the very position that the Senator takes now of surrendering,Premise
1960_3a42fb786bc1e54b44b3c7a3ea447331,T98,1960,"which passed the Senate overwhelmingly, seventy to twelve",Premise
1960_8aac2d1ad91a2a2898367ff69cde1c9a,T99,1960,"There were too many infantrymen there, not enough heavy artillery",Premise
1960_efaa4c8e44509feedd0a658aa5673271,T100,1960,I don't think there was any implication in Secretary Dulles' statement that Quemoy and Matsu should not be defended in the event that they were attacked,Claim
1960_d40e0b75e5d7ca0d49f3b302545d326f,T101,1960,that attack was a preliminary to an attack on Formosa,Claim
1960_7d9194be097fd2eab68e3e94fda92638,T102,1960,the President has always indicated that we must not make the mistake in dealing with the dictator of indicating that we are going to make a concession at the point of a gun,Premise
1960_ac6c0a713f0673533861644fe4e216ff,T103,1960,"Whenever you do that, inevitably the dictator is encouraged to try it again",Premise
1960_88191184c116a3a6ea0c7d42f65e5436,T104,1960,"once you do this indicating that you are not going to defend a particular area, the inevitable result is that it encourages a man who is determined to conquer the world to press you to the point of no return",Claim
1960_2812e6d80f241efc3cdc475d2851e2a0,T105,1960,that means war,Premise
1960_207de73e3c40e867cbfeb4b596489e18,T106,1960,We went through this tragic experience leading to World War II,Premise
1960_22fe47b79d5f9262b4f0817da86bc871,T107,1960,We learned our lesson again in Korea,Premise
1960_6ee9b518ad6b537fa43dc67208ea58dd,T108,1960,We must not learn it again,Premise
1960_3eb5cd41acd4433c53219e5e2ff6e894,T109,1960,I think the Senate was right when they rejected Senator Kennedy's position in 1955,Claim
1960_14de81563a8e39f4e0bcb56913b92be8,T110,1960,Senator Johnson was among those who rejected that position - voted with the seventy against the twelve,Premise
1960_9e34c7e9b7355c3a0788a881e03db805,T111,1960,The Senate was right,Claim
1960_de9b09322f2e43fb9c20690f8218bffc,T112,1960,they knew the lesson of history,Premise
1960_f0f92fcd84f2ee947b885cfe568797a2,T113,1960,we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom,Claim
1960_21b92d267946a999da7e38449ecaf834,T114,1960,"this instance the good intentions, of course, are a desire for peace",Claim
1960_73c896c49660095d9f8aa3751e55afe6,T115,1960,I would trust that Senator Kennedy would change his position on this - change it,Claim
1960_a2c1fe087361571135a00813130e08a7,T116,1960,as long as he as a major presidential candidate continues to suggest that we are going to turn over these islands,Premise
1960_4f98d93972e788f80f4619d166eccc65,T117,1960,he is only encouraging the aggressors - the Chinese Communist and the Soviet aggressors - to press the United States,Premise
1960_28ff7b14fa1d323758367723d5f1b5da,T118,1960,to press us to the point where war would be inevitable,Premise
1960_c2276cd68b048c4f5e58ee71a07882a6,T119,1960,The road to war is always paved with good intentions,Premise
1960_61a20e2770cdf32d416c293dfdb92802,T120,1960,I don't think it's possible for Mr. Nixon to state the record in distortion of the facts with more precision than he just did,Claim
1960_b6ec0570a198a016578901989326fe9c,T121,1960,"In 1955, Mr. Dulles at a press conference said: ""The treaty that we have with the Republic of China excludes Quemoy and Matsu from the treaty area",Premise
1960_8576dade48aebc213a8c29c8b7bf9a53,T122,1960,That was done with much thought and deliberation,Premise
1960_48daf1c5fd45bbd8397efc337f5d54f1,T123,1960,"that treaty does not commit the United States to defend anything except Formosa and the Pescadores, and to deal with acts against that treaty area",Claim
1960_385c54d34c76eb1142f57e51141bdb86,T124,1960,I completely sustained the treaty,Premise
1960_611003bab5a41172f38001fecf2fbcdb,T125,1960,I voted for it,Premise
